
    Converted from imet to match Vaisala RS format
    
    Information about sounding:
    ==================================
    
    Ignore: Station:                  xxxx
    Ignore: Launch time:              2019-06-17 08:25:28 UTC
    Ignore: RS type:                  m10
    Ignore: RS number:                
    Ignore: Reason for termination:   Manual stop
    Ignore: Sounding SW version:      MW31 3.66.0
    
    Ignore: PTU calculations in research mode
    
    ==================================
    
    
    Information about map: FLEDT               
    ==================================
    
    
       Record name:    Unit:           Data type:          Divisor: Offset:
       ---------------------------------------------------------------------
        time            sec             float (4)          1        0       
        Pscl            ln scaled       float (4)          1        0       
        T               K               float (4)          1        0       
        RH              %               float (4)          1        0       
        v               m/s             float (4)          -1       0       
        u               m/s             float (4)          -1       0       
        Height          m               float (4)          1        0       
        P               hPa             float (4)          1        0       
        TD              K               float (4)          1        0       
        MR              g/kg            float (4)          1        0       
        DD              dgr             float (4)          1        0       
        FF              m/s             float (4)          1        0       
        AZ              dgr             float (4)          1        0       
        El              dgr             float (4)          1        0       
        Range           m               float (4)          1        0       
        Lon             dgr             float (4)          1        0       
        Lat             dgr             float (4)          1        0       
        SpuKey          bitfield        unsigned short (2) 1        0       
        UsrKey          bitfield        unsigned short (2) 1        0       
        RadarH          m               float (4)          1        0       
    
    *************************************************************************************************
time	Pscl	T	RH	v	u	Height	P	TD	MR	DD	FF	AZ	El	Range	Lon	Lat	SpuKey	UsrKey	RadarH
21	-32768.0	291.34999999999997	54.0	-4.5432008873772585	1.8355723077379686	252.0	990.0454929542592	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09257	47.97496	-32768.0	-32768.0	-32768.0
22	-32768.0	291.45	54.0	-1.9681770869715218	2.264128740668316	259.0	989.2366833706003	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09254	47.97499	-32768.0	-32768.0	-32768.0
23	-32768.0	291.45	54.0	0.1473257168238869	2.8111421403341255	266.0	988.4286888584774	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09251	47.975	-32768.0	-32768.0	-32768.0
24	-32768.0	291.45	55.0	0.9720220020036087	2.0845079101842945	273.0	987.6213916264105	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09248	47.97499	-32768.0	-32768.0	-32768.0
25	-32768.0	291.45	55.0	0.4854101966249684	0.3526711513754839	281.0	986.6996165586846	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09246	47.97498	-32768.0	-32768.0	-32768.0
26	-32768.0	291.45	56.0	-1.0284601754984628	-1.225671108990365	289.0	985.7787451608864	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09247	47.97499	-32768.0	-32768.0	-32768.0
27	-32768.0	291.34999999999997	55.0	-2.8670321550114704	-2.0075175272286625	297.0	984.8585685889412	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.0925	47.97501	-32768.0	-32768.0	-32768.0
28	-32768.0	291.15	55.0	-4.079608960093864	-1.6482690110300142	303.0	984.1685922081424	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09252	47.97504	-32768.0	-32768.0	-32768.0
29	-32768.0	291.15	56.0	-4.356005901713037	-0.4578346691123217	310.0	983.3639686190769	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09253	47.97509	-32768.0	-32768.0	-32768.0
30	-32768.0	291.04999999999995	56.0	-7.341036279796919	1.9670247427791576	316.0	982.674717993883	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09252	47.97515	-32768.0	-32768.0	-32768.0
31	-32768.0	290.95	56.0	-6.29002925959068	4.084792762612703	322.0	981.985698057573	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09248	47.97521	-32768.0	-32768.0	-32768.0
32	-32768.0	290.84999999999997	56.0	-4.030508652763321	4.030508652763321	328.0	981.2969089795502	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09242	47.97525	-32768.0	-32768.0	-32768.0
33	-32768.0	290.75	56.0	-1.4466247844039553	2.966020352787251	335.0	980.4936384672706	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09237	47.97528	-32768.0	-32768.0	-32768.0
34	-32768.0	290.75	56.0	1.1779526201371968	0.2289707944518539	341.0	979.8055203160421	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09235	47.97527	-32768.0	-32768.0	-32768.0
35	-32768.0	290.75	57.0	1.3777239608800653	-1.5848901184678212	347.0	979.1179153112431	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09236	47.97526	-32768.0	-32768.0	-32768.0
36	-32768.0	290.75	57.0	-0.21900825105632302	-1.3827636768331928	352.0	978.5453047338242	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09238	47.97525	-32768.0	-32768.0	-32768.0
37	-32768.0	290.65	57.0	-1.1535140351259827	0.330764826980399	359.0	977.7440674311113	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09239	47.97526	-32768.0	-32768.0	-32768.0
38	-32768.0	290.65	57.0	-1.23609137978413	2.0572015216850694	364.0	977.1720532584758	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09237	47.97527	-32768.0	-32768.0	-32768.0
39	-32768.0	290.54999999999995	57.0	-0.18317584685030341	3.4952033716410082	370.0	976.4859535886553	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09233	47.97527	-32768.0	-32768.0	-32768.0
40	-32768.0	290.54999999999995	58.0	0.0	3.78	376.0	975.8002380623575	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09228	47.97527	-32768.0	-32768.0	-32768.0
41	-32768.0	290.54999999999995	58.0	-1.0999999999999999	1.9052558883257653	383.0	975.0008803962462	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09224	47.97528	-32768.0	-32768.0	-32768.0
42	-32768.0	290.45	58.0	-2.6	-4.776122516674677e-16	390.0	974.2020334727985	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09223	47.9753	-32768.0	-32768.0	-32768.0
43	-32768.0	290.34999999999997	58.0	-2.757461708434182	-0.48621489746740487	397.0	973.4035484599219	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09224	47.97532	-32768.0	-32768.0	-32768.0
44	-32768.0	290.25	58.0	-7.341036279796919	-1.9670247427791567	402.0	972.8333931574654	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09226	47.97537	-32768.0	-32768.0	-32768.0
45	-32768.0	290.25	56.0	-7.036435614268496	-2.017665444580432	408.0	972.1494713219071	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09228	47.97544	-32768.0	-32768.0	-32768.0
46	-32768.0	290.34999999999997	53.0	-6.723153447018123	-1.5521622749726702	413.0	971.5799034722922	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09231	47.9755	-32768.0	-32768.0	-32768.0
47	-32768.0	290.45	52.0	-4.2973805561821115	0.15006783582075464	421.0	970.669491341794	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09232	47.97555	-32768.0	-32768.0	-32768.0
48	-32768.0	290.25	56.0	-2.316616962889756	1.1803752993228218	429.0	969.7598746992145	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09231	47.97557	-32768.0	-32768.0	-32768.0
49	-32768.0	290.25	52.0	-1.7465323072967938	0.4354594120794018	436.0	968.9643694716104	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09229	47.97559	-32768.0	-32768.0	-32768.0
50	-32768.0	290.15	55.0	-2.9108871788279895	-0.7257656867990033	443.0	968.1693437101045	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.0923	47.97561	-32768.0	-32768.0	-32768.0
51	-32768.0	290.04999999999995	58.0	-5.322072058623841	-1.3269415973641778	450.0	967.3748609020629	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09231	47.97565	-32768.0	-32768.0	-32768.0
52	-32768.0	289.95	59.0	-7.282217566896716	-0.5092222583321168	457.0	966.5808590298574	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09232	47.9757	-32768.0	-32768.0	-32768.0
53	-32768.0	289.95	58.0	-6.695918541027941	-0.2338266279067551	464.0	965.7873655790199	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09233	47.97576	-32768.0	-32768.0	-32768.0
54	-32768.0	289.84999999999997	59.0	-6.1915031154783575	0.3244829287062526	472.0	964.8811503612818	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09232	47.97582	-32768.0	-32768.0	-32768.0
55	-32768.0	289.75	57.0	-3.6200851307215998	1.9248334074221523	480.0	963.9754203417131	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09229	47.97586	-32768.0	-32768.0	-32768.0
56	-32768.0	289.95	51.0	0.1655959112205505	1.8927699263743165	488.0	963.0704441487298	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09226	47.97587	-32768.0	-32768.0	-32768.0
57	-32768.0	290.25	50.0	1.0706089701741732	1.1890317207638308	495.0	962.2798137305649	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09223	47.97587	-32768.0	-32768.0	-32768.0
58	-32768.0	290.34999999999997	50.0	0.6368312088070505	1.5762125527635387	501.0	961.6031240223185	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09221	47.97586	-32768.0	-32768.0	-32768.0
59	-32768.0	290.34999999999997	50.0	0.9743700647852352	0.22495105434386492	507.0	960.9270379650699	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.0922	47.97585	-32768.0	-32768.0	-32768.0
60	-32768.0	290.25	49.0	-0.2727993440249994	0.2925414806476682	514.0	960.1386997366703	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.0922	47.97585	-32768.0	-32768.0	-32768.0
61	-32768.0	290.25	49.0	-2.0541099615409917	0.4366145507172949	521.0	959.3508368828693	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09219	47.97586	-32768.0	-32768.0	-32768.0
62	-32768.0	290.15	49.0	-3.3282253861095947	1.1459999036891917	528.0	958.5634796565149	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09218	47.97588	-32768.0	-32768.0	-32768.0
63	-32768.0	290.15	49.0	-4.582495611222029	0.4009164166392274	535.0	957.7766277812036	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09217	47.97592	-32768.0	-32768.0	-32768.0
64	-32768.0	290.15	49.0	-6.5	-1.1940306291686693e-15	541.0	957.1027006374883	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09217	47.97597	-32768.0	-32768.0	-32768.0
65	-32768.0	290.04999999999995	49.0	-7.012587218225478	1.1106847017856396	548.0	956.3169107422708	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09216	47.97603	-32768.0	-32768.0	-32768.0
66	-32768.0	289.95	49.0	-5.846690928912646	2.6031145156851214	554.0	955.6436453093586	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09213	47.97609	-32768.0	-32768.0	-32768.0
67	-32768.0	289.84999999999997	49.0	-3.27821680940135	3.9068266599067876	561.0	954.8584828393084	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09208	47.97613	-32768.0	-32768.0	-32768.0
68	-32768.0	289.84999999999997	49.0	-0.6144492407386889	4.372033523494033	568.0	954.0738252367838	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09202	47.97614	-32768.0	-32768.0	-32768.0
69	-32768.0	289.84999999999997	49.0	0.8951110137187707	3.590094187221187	574.0	953.4017781240931	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09197	47.97614	-32768.0	-32768.0	-32768.0
70	-32768.0	289.75	49.0	0.8171828995311842	1.6038117435390622	581.0	952.6181809905526	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09193	47.97613	-32768.0	-32768.0	-32768.0
71	-32768.0	289.75	50.0	-0.3125849027914189	-0.7364038827619523	587.0	951.9469437399237	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09193	47.97613	-32768.0	-32768.0	-32768.0
72	-32768.0	289.75	50.0	-1.9258080740865549	-2.5556336321513373	592.0	951.3879639715348	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09195	47.97614	-32768.0	-32768.0	-32768.0
73	-32768.0	289.75	50.0	-4.944506520009991	-2.629040751600988	599.0	950.6059470698816	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.092	47.97618	-32768.0	-32768.0	-32768.0
74	-32768.0	289.65	50.0	-5.612029050739486	-1.5037386520456448	605.0	949.9360381188997	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09202	47.97623	-32768.0	-32768.0	-32768.0
75	-32768.0	289.54999999999995	50.0	-5.596588631306936	0.19543718153400605	611.0	949.2663572412317	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09203	47.97628	-32768.0	-32768.0	-32768.0
76	-32768.0	289.54999999999995	50.0	-5.888972745734183	3.400000000000001	617.0	948.5970279532186	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.092	47.97634	-32768.0	-32768.0	-32768.0
77	-32768.0	289.45	50.0	-5.466982482573748	5.279403615488379	623.0	947.9280502736289	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09194	47.97639	-32768.0	-32768.0	-32768.0
78	-32768.0	289.45	50.0	-4.393249669009952	5.830039223345238	628.0	947.3708287170077	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09186	47.97644	-32768.0	-32768.0	-32768.0
79	-32768.0	289.34999999999997	50.0	-3.158906403087157	4.864289294083459	635.0	946.5911287054097	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09179	47.97647	-32768.0	-32768.0	-32768.0
80	-32768.0	289.25	51.0	-1.9056408771672004	3.1715190125978157	641.0	945.9231065594013	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09174	47.97649	-32768.0	-32768.0	-32768.0
81	-32768.0	289.25	51.0	-0.5353044850870866	-0.5945158603819154	647.0	945.2554601599766	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09172	47.9765	-32768.0	-32768.0	-32768.0
82	-32768.0	289.25	51.0	-1.6775787104122402	-2.4871127176651253	653.0	944.5882880165201	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09175	47.97651	-32768.0	-32768.0	-32768.0
83	-32768.0	289.25	51.0	-2.706008695990931	-2.523393932231245	660.0	943.8105194159338	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09178	47.97653	-32768.0	-32768.0	-32768.0
84	-32768.0	289.15	51.0	-2.7577599952283207	-2.314035394871542	666.0	943.1442505023974	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09182	47.97655	-32768.0	-32768.0	-32768.0
85	-32768.0	289.04999999999995	51.0	-2.8138576062003895	-0.7015734972390365	673.0	942.3672478932174	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09184	47.97658	-32768.0	-32768.0	-32768.0
86	-32768.0	289.04999999999995	51.0	-3.233592155403522	1.0506577808748212	680.0	941.5907460346879	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09183	47.97661	-32768.0	-32768.0	-32768.0
87	-32768.0	288.95	51.0	-2.621286541724774	1.8354445963233479	686.0	940.925562664366	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09181	47.97663	-32768.0	-32768.0	-32768.0
88	-32768.0	288.9	51.0			692.5	940.2052814605703	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.0918	47.97664	-32768.0	-32768.0	-32768.0
89	-32768.0	288.84999999999997	51.0	0.22476395604954733	-0.5563103127400724	699.0	939.4854221241416	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09179	47.97665	-32768.0	-32768.0	-32768.0
90	-32768.0	288.75	51.0	0.4596516016393687	-1.8435618799243931	706.0	938.7105946025928	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09181	47.97665	-32768.0	-32768.0	-32768.0
91	-32768.0	288.75	51.0	-0.36250000000000004	-0.6278684177437179	713.0	937.9362670727278	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09183	47.97665	-32768.0	-32768.0	-32768.0
92	-32768.0	288.75	51.0	-0.8632077604063813	0.8335900445507967	719.0	937.2730693713673	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09183	47.97665	-32768.0	-32768.0	-32768.0
93	-32768.0	288.65	51.0	-0.20045820831961378	2.2912478056110146	724.0	936.7206629468363	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.0918	47.97666	-32768.0	-32768.0	-32768.0
94	-32768.0	288.54999999999995	50.0	-3.4856898240961733	5.3674916348507145	730.0	936.0579390801898	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09174	47.97669	-32768.0	-32768.0	-32768.0
95	-32768.0	288.45	51.0	-3.14173225695133	5.228720534282885	735.0	935.5058256340484	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09167	47.97672	-32768.0	-32768.0	-32768.0
96	-32768.0	288.45	51.0	-3.252691193458118	3.2526911934581184	741.0	934.8436230931079	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09161	47.97675	-32768.0	-32768.0	-32768.0
97	-32768.0	288.45	51.0	-2.586842954241337	1.0451523956303943	747.5	934.1267692857947	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09158	47.97678	-32768.0	-32768.0	-32768.0
98	-32768.0	288.45	51.0	-1.5912350325892375	-0.1672455412282454	754.0	933.410468687977	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09158	47.9768	-32768.0	-32768.0	-32768.0
99	-32768.0	288.34999999999997	51.0	0.22476395604954733	-0.5563103127400724	761.0	932.6395438264569	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09159	47.9768	-32768.0	-32768.0	-32768.0
100	-32768.0	288.25	51.0	0.374606593415912	0.9271838545667874	768.0	931.8689748474192	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09158	47.9768	-32768.0	-32768.0	-32768.0
101	-32768.0	288.25	51.0	-0.6064021827973982	2.114775731064302	775.0	931.0989041617205	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09156	47.9768	-32768.0	-32768.0	-32768.0
102	-32768.0	288.15	51.0	-1.9501598835935565	2.785116950582572	781.0	930.4392312191924	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09153	47.97681	-32768.0	-32768.0	-32768.0
103	-32768.0	288.15	51.0	-3.35426914219863	2.527623097238603	788.0	929.6700648908521	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09149	47.97683	-32768.0	-32768.0	-32768.0
104	-32768.0	288.04999999999995	52.0	-4.417322325514488	0.8586404791944521	795.0	928.9014227555125	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09147	47.97687	-32768.0	-32768.0	-32768.0
105	-32768.0	288.04999999999995	52.0	-5.050367150582008	-0.7097828148963357	801.0	928.2429965485248	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	-32768.0	2.09147	47.97691	-32768.0	-32768.0	-32768.0
